study,group,username,question_name,q_type,responsesummary,marks_attained,task_order,part,response,q_part,relevant_prt,fully_correct,response_type,response_type_overall
study1,GCG,anon100,NearG,G,ans1: 1-1/2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Classify first,ans1,1-1/2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,CGC,anon101,NearG,G,ans1: 5-(1/2^n) [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,5-(1/2^n) ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,CGC,anon103,NearG,G,ans1: -1/n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,-1/n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/n,1/n
study1,CGC,anon104,NearG,G,ans1: n/2 [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,n/2 ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study1,GGC,anon105,NearG,G,ans1: 1-1/2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,1-1/2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,GGC,anon106,NearG,G,ans1: 2+1/n [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Generate first,ans1,2+1/n ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,1/n,1/n
study1,GCG,anon109,NearG,G,ans1: 1/n+9 [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Classify first,ans1,1/n+9 ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,1/n,1/n
study1,CCG,anon110,NearG,G,ans1: 1/2*n+1 [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,1/2*n+1 ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,a/n,1/n
study1,CCG,anon112,NearG,G,ans1: 1+u_n [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Classify first,ans1,1+u_n ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,other,other
study1,CGC,anon113,NearG,G,ans1: 6^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,6^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,^n,other
study1,GGC,anon114,NearG,G,ans1: n -1/2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,n -1/2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,1/2^n,1/2^n
study1,CGC,anon115,NearG,G,ans1: 1/n [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Generate first,ans1,1/n ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,1/n,1/n
study1,CGC,anon117,NearG,G,ans1: 1/(4*n+4) [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Generate first,ans1,1/(4*n+4) ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,1/(an+b),1/n
study1,GCG,anon12,NearG,G,ans1: 1-1/2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Classify first,ans1,1-1/2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,CGC,anon125,NearG,G,ans1: (n-1)/n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,(n-1)/n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,(expr in n)/(an+b),1/n
study1,CCG,anon126,NearG,G,ans1: 2*n -1 [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,2*n -1 ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study1,CGC,anon128,NearG,G,ans1: log(x) [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Generate first,ans1,log(x) ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,other,other
study1,CGC,anon13,NearG,G,ans1: 4-1/(4*n) [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,4-1/(4*n) ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,a/n,1/n
study1,GCG,anon139,NearG,G,ans1: 2-2/n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Classify first,ans1,2-2/n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,a/n,1/n
study1,CGC,anon14,NearG,G,ans1: 0 [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Generate first,ans1,0 ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,integer,other
study1,GCG,anon143,NearG,G,ans1: 1/n [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Classify first,ans1,1/n ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,1/n,1/n
study1,CCG,anon148,NearG,G,ans1: 1/2*n  [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,1/2*n  ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,a/n,1/n
study1,GGC,anon149,NearG,G,ans1: x [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Generate first,ans1,x ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,other,other
study1,GCG,anon151,NearG,G,ans1: 1/2^n [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Classify first,ans1,1/2^n ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,1/2^n,1/2^n
study1,GGC,anon152,NearG,G,ans1: 0 [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Generate first,ans1,0 ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,integer,other
study1,GGC,anon153,NearG,G,ans1: 1-(1/2)^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,1-(1/2)^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,GCG,anon154,NearG,G,ans1: 1-1/2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Classify first,ans1,1-1/2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,GCG,anon157,NearG,G,ans1: 1+n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,1+n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study1,CGC,anon16,NearG,G,ans1: n^2-1 [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,n^2-1 ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,"n^2, n^3",other
study1,GCG,anon160,NearG,G,ans1: 257/16-1/2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Classify first,ans1,257/16-1/2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,GGC,anon161,NearG,G,ans1: 1-1/n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,1-1/n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/n,1/n
study1,GCG,anon162,NearG,G,ans1: 2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,^n,other
study1,GGC,anon164,NearG,G,ans1: 1-1/2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,1-1/2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,GGC,anon165,NearG,G,ans1: 1-1/n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,1-1/n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/n,1/n
study1,GCG,anon167,NearG,G,ans1: 2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,^n,other
study1,CGC,anon169,NearG,G,ans1: 7 [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Generate first,ans1,7 ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,integer,other
study1,GGC,anon170,NearG,G,ans1: 1-1/2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,1-1/2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,CCG,anon171,NearG,G,ans1: 1/(2*n+4) [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Classify first,ans1,1/(2*n+4) ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,1/(an+b),1/n
study1,CCG,anon174,NearG,G,ans1: 1 [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Classify first,ans1,1 ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,integer,other
study1,CCG,anon175,NearG,G,ans1: sin(n) [score]; prt1: ATAlgEquiv_SA_not_logic. | prt1-1-F | ATAlgEquiv_SA_not_logic. | prt1-2-F,0,Classify first,ans1,sin(n) ,NearG_ans1,prt1: ATAlgEquiv_SA_not_logic. | prt1-1-F | ATAlgEquiv_SA_not_logic. | prt1-2-F,FALSE,other,other
study1,GGC,anon178,NearG,G,ans1: 4 [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Generate first,ans1,4 ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,integer,other
study1,CCG,anon182,NearG,G,ans1: 1-(1/2)^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Classify first,ans1,1-(1/2)^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,GGC,anon185,NearG,G,ans1: 4^n+1 [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,4^n+1 ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,^n,other
study1,GCG,anon186,NearG,G,ans1: 1+n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,1+n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study1,GGC,anon19,NearG,G,ans1: -1/n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,-1/n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/n,1/n
study1,GGC,anon190,NearG,G,ans1: 1-(1/2)^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,1-(1/2)^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,GGC,anon191,NearG,G,ans1: ln(n) [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,ln(n) ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,other,other
study1,CGC,anon193,NearG,G,ans1: 5-1/n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,5-1/n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/n,1/n
study1,GCG,anon199,NearG,G,ans1: -1-1/2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Classify first,ans1,-1-1/2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,CCG,anon202,NearG,G,ans1: -3/n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Classify first,ans1,-3/n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,a/n,1/n
study1,CCG,anon206,NearG,G,ans1: sqrt(n) [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,sqrt(n) ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,other,other
study1,GGC,anon210,NearG,G,ans1: u_1-1/n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,u_1-1/n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,other,other
study1,CCG,anon211,NearG,G,ans1: 1/-n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Classify first,ans1,1/-n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/n,1/n
study1,CGC,anon212,NearG,G,ans1: 2-1/(2*n) [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,2-1/(2*n) ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,a/n,1/n
study1,CCG,anon218,NearG,G,ans1: 5/2*n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,5/2*n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,a/n,1/n
study1,GCG,anon220,NearG,G,ans1: 3*n+1 [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,3*n+1 ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study1,CGC,anon221,NearG,G,ans1: 5-1/2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,5-1/2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,GCG,anon225,NearG,G,ans1: 1-1/2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Classify first,ans1,1-1/2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,GGC,anon227,NearG,G,ans1: ln(n) [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,ln(n) ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,other,other
study1,GCG,anon229,NearG,G,ans1: 1 [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Classify first,ans1,1 ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,integer,other
study1,GCG,anon23,NearG,G,ans1: 2*n+4 [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,2*n+4 ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study1,GGC,anon230,NearG,G,ans1: 1-1/2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,1-1/2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,GCG,anon29,NearG,G,ans1: 1-1/n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Classify first,ans1,1-1/n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/n,1/n
