study,group,username,question_name,q_type,responsesummary,marks_attained,task_order,part,response,q_part,relevant_prt,fully_correct,response_type,response_type_overall
study2,GC,anon170,NearG,G,Seed: 1; ans1: -1/n [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,1,Generate first,ans1,-1/n ,NearG_ans1,prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,TRUE,1/n,1/n
study2,GC,anon173,NearG,G,Seed: 1; ans1: 2^n [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,2^n ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,^n,other
study2,CG,anon174,NearG,G,Seed: 1; ans1: 8 [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Classify first,ans1,8 ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,integer,other
study2,CG,anon177,NearG,G,Seed: 1; ans1: 0-1/n [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,1,Classify first,ans1,0-1/n ,NearG_ans1,prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,TRUE,1/n,1/n
study2,CG,anon18,NearG,G,Seed: 1; ans1: 2^n [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,2^n ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,^n,other
study2,CG,anon185,NearG,G,Seed: 1; ans1: 2^n [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,2^n ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,^n,other
study2,CG,anon187,NearG,G,Seed: 1; ans1: n+1 [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,n+1 ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study2,CG,anon192,NearG,G,Seed: 1; ans1: n/(n+1)  [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,1,Classify first,ans1,n/(n+1)  ,NearG_ans1,prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,TRUE,(expr in n)/(an+b),1/n
study2,CG,anon194,NearG,G,Seed: 1; ans1: -1^n [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Classify first,ans1,-1^n ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,^n,other
study2,GC,anon195,NearG,G,Seed: 1; ans1: log(n+1) [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,log(n+1) ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,other,other
study2,CG,anon197,NearG,G,Seed: 1; ans1: 7 [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Classify first,ans1,7 ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,integer,other
study2,GC,anon199,NearG,G,Seed: 1; ans1: 1 [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Generate first,ans1,1 ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,integer,other
study2,GC,anon20,NearG,G,Seed: 1; ans1: n [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,n ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study2,CG,anon201,NearG,G,Seed: 1; ans1: 10^x [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Classify first,ans1,10^x ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,other,other
study2,GC,anon202,NearG,G,Seed: 1; ans1: 4 [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Generate first,ans1,4 ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,integer,other
study2,GC,anon203,NearG,G,Seed: 1; ans1: 1/n [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Generate first,ans1,1/n ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,1/n,1/n
study2,CG,anon204,NearG,G,Seed: 1; ans1: n+1 [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,n+1 ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study2,GC,anon205,NearG,G,Seed: 1; ans1: log(n) [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,log(n) ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,other,other
study2,GC,anon206,NearG,G,Seed: 1; ans1: n+1 [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,n+1 ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study2,CG,anon208,NearG,G,Seed: 1; ans1: 3*n [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,3*n ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study2,GC,anon209,NearG,G,Seed: 1; ans1: 1 [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Generate first,ans1,1 ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,integer,other
study2,GC,anon21,NearG,G,Seed: 1; ans1: 2*n [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,2*n ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study2,GC,anon211,NearG,G,Seed: 1; ans1: 1/(1+1/n) [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,1,Generate first,ans1,1/(1+1/n) ,NearG_ans1,prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,TRUE,1/n,1/n
study2,CG,anon214,NearG,G,Seed: 1; ans1: 10/n [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Classify first,ans1,10/n ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,a/n,1/n
study2,CG,anon215,NearG,G,Seed: 1; ans1: n+1 [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,n+1 ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study2,CG,anon216,NearG,G,Seed: 1; ans1: 5*n [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,5*n ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study2,GC,anon218,NearG,G,Seed: 1; ans1: 1 [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Generate first,ans1,1 ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,integer,other
study2,GC,anon221,NearG,G,Seed: 1; ans1: n^2 [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,n^2 ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,"n^2, n^3",other
study2,GC,anon24,NearG,G,Seed: 1; ans1: -1/n [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,1,Generate first,ans1,-1/n ,NearG_ans1,prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,TRUE,1/n,1/n
study2,GC,anon25,NearG,G,Seed: 1; ans1: 2^2 [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Generate first,ans1,2^2 ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,other,other
study2,GC,anon28,NearG,G,Seed: 1; ans1: u_n + 1/n [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Generate first,ans1,u_n + 1/n ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,other,other
study2,GC,anon3,NearG,G,Seed: 1; ans1: 1/2^n [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Generate first,ans1,1/2^n ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,1/2^n,1/2^n
study2,CG,anon31,NearG,G,Seed: 1; ans1: n^2 [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,n^2 ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,"n^2, n^3",other
study2,CG,anon32,NearG,G,Seed: 1; ans1: (n-1)/n [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,1,Classify first,ans1,(n-1)/n ,NearG_ans1,prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,TRUE,(expr in n)/(an+b),1/n
study2,CG,anon33,NearG,G,Seed: 1; ans1: -1/n [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,1,Classify first,ans1,-1/n ,NearG_ans1,prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,TRUE,1/n,1/n
study2,GC,anon36,NearG,G,Seed: 1; ans1: -n^2 [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Generate first,ans1,-n^2 ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,"n^2, n^3",other
study2,GC,anon38,NearG,G,Seed: 1; ans1: sqrt(x) [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Generate first,ans1,sqrt(x) ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,other,other
study2,GC,anon41,NearG,G,Seed: 1; ans1: 1-1/n [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,1,Generate first,ans1,1-1/n ,NearG_ans1,prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,TRUE,1/n,1/n
study2,GC,anon44,NearG,G,Seed: 1; ans1: 2^n+12 [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,2^n+12 ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,^n,other
study2,CG,anon46,NearG,G,Seed: 1; ans1: sqrt(n)+1 [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,sqrt(n)+1 ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,other,other
study2,GC,anon57,NearG,G,Seed: 1; ans1: 1- 3/n [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,1,Generate first,ans1,1- 3/n ,NearG_ans1,prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,TRUE,a/n,1/n
study2,GC,anon59,NearG,G,Seed: 1; ans1: n^2+1 [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,n^2+1 ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,"n^2, n^3",other
study2,GC,anon6,NearG,G,Seed: 1; ans1: 1 [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Generate first,ans1,1 ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,integer,other
study2,GC,anon60,NearG,G,Seed: 1; ans1: -1/n [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,1,Generate first,ans1,-1/n ,NearG_ans1,prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,TRUE,1/n,1/n
study2,CG,anon61,NearG,G,Seed: 1; ans1: 1/(n-1) [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Classify first,ans1,1/(n-1) ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,1/(an+b),1/n
study2,GC,anon63,NearG,G,Seed: 1; ans1: 1-1/n [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,1,Generate first,ans1,1-1/n ,NearG_ans1,prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,TRUE,1/n,1/n
study2,GC,anon66,NearG,G,Seed: 1; ans1: ln(n) [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,ln(n) ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,other,other
study2,GC,anon67,NearG,G,Seed: 1; ans1: n^2 [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,n^2 ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,"n^2, n^3",other
study2,CG,anon69,NearG,G,Seed: 1; ans1: u_n+1 [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Classify first,ans1,u_n+1 ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,other,other
study2,GC,anon72,NearG,G,Seed: 1; ans1: -1/n [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,1,Generate first,ans1,-1/n ,NearG_ans1,prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,TRUE,1/n,1/n
study2,CG,anon78,NearG,G,Seed: 1; ans1: -1/n^2 [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,1,Classify first,ans1,-1/n^2 ,NearG_ans1,prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,TRUE,"n^2, n^3",other
study2,GC,anon80,NearG,G,Seed: 1; ans1: -1/n [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,1,Generate first,ans1,-1/n ,NearG_ans1,prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,TRUE,1/n,1/n
study2,CG,anon86,NearG,G,Seed: 1; ans1: 3*n+4 [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,3*n+4 ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study2,GC,anon87,NearG,G,Seed: 1; ans1: 23 [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Generate first,ans1,23 ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,integer,other
study2,GC,anon88,NearG,G,Seed: 1; ans1: 1/n [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Generate first,ans1,1/n ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,1/n,1/n
study2,CG,anon89,NearG,G,Seed: 1; ans1: (-1)*n [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Classify first,ans1,(-1)*n ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,an+b,other
study2,CG,anon90,NearG,G,Seed: 1; ans1: ln(n) [score]; prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,ln(n) ,NearG_ans1,prt1: # = 0.5 | ATLogic_True. | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,other,other
study2,GC,anon95,NearG,G,Seed: 1; ans1: 1-(1/2^n) [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,1,Generate first,ans1,1-(1/2^n) ,NearG_ans1,prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,TRUE,1/2^n,1/2^n
study2,CG,anon96,NearG,G,Seed: 1; ans1: 1-1/n [score]; prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,1,Classify first,ans1,1-1/n ,NearG_ans1,prt1: # = 1 | ATLogic_True. | prt1-1-T | prt1-3-F | ATLogic_True. | prt1-4-T,TRUE,1/n,1/n
study2,CG,anon97,NearG,G,Seed: 1; ans1: sqrt(u_n-9) [score]; prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,0,Classify first,ans1,sqrt(u_n-9) ,NearG_ans1,prt1: # = 0 | prt1-1-F | ATLogic_True. | prt1-2-T,FALSE,other,other
